GSM5788660	01_CO_36_HC_01
GSM5788661	01_CO_37_HC_01
GSM5788662	01_CO_38_HC_02
GSM5788663	01_CO_39_HC_01
GSM5788664	01_CO_41_HC_02
GSM5788665	01_CO_43_HC_01
GSM5788666	01_CO_43_HC_02
GSM5788667	01_CO_44_HC_01
GSM5788668	01_CO_46_HC_01
GSM5788669	01_CO_48_HC_02
GSM5788670	01_CO_49_HC_01
GSM5788671	01_CO_51_HC_01
GSM5788672	02_AD_09_LS_01
GSM5788673	02_AD_13_NL_02
GSM5788674	02_AD_15_NL_01
GSM5788675	02_AD_15_NL_02
GSM5788676	02_AD_16_NL_01
GSM5788677	02_AD_16_NL_02
GSM5788678	02_AD_22_LS_02
GSM5788679	02_AD_23_NL_02
GSM5788680	02_AD_25_NL_01
GSM5788681	02_CO_43_HC_02
GSM5788682	02_CO_48_HC_01
GSM5788683	03_AD_02_LS_02
GSM5788684	03_AD_06_LS_02
GSM5788685	03_AD_13_NL_02
GSM5788686	03_AD_15_LS_01
GSM5788687	03_AD_16_LS_01
GSM5788688	03_AD_22_LS_01
GSM5788689	03_AD_25_LS_02
GSM5788690	03_CO_39_HC_02
GSM5788691	03_CO_42_HC_02
GSM5788692	04_AD_02_NL_02
GSM5788693	04_AD_06_NL_01
GSM5788694	04_AD_12_NL_02
GSM5788695	04_AD_13_LS_01
GSM5788696	04_AD_22_NL_02
GSM5788697	04_AD_25_LS_02
GSM5788698	04_AD_25_NL_02
GSM5788699	04_CO_39_HC_01
GSM5788700	04_CO_39_HC_02
GSM5788701	04_CO_42_HC_02
GSM5788702	04_CO_45_HC_02
GSM5788703	04_CO_48_HC_01
GSM5788704	04_CO_52_HC_01
GSM5788705	05_AD_12_NL_01
GSM5788706	05_AD_15_LS_01
GSM5788707	05_AD_22_LS_01
GSM5788708	05_AD_22_NL_01
GSM5788709	05_AD_23_LS_02
GSM5788710	05_AD_25_LS_02
GSM5788711	05_CO_42_HC_01
GSM5788712	05_CO_42_HC_02
GSM5788713	05_CO_43_HC_02
GSM5788714	05_CO_45_HC_01
GSM5788715	05_CO_46_HC_02
GSM5788716	05_CO_52_HC_01
GSM5788717	05_CO_56_HC_01
GSM5788718	01_AD_01_NL_02
GSM5788719	01_AD_02_NL_02
GSM5788720	01_AD_03_NL_01
GSM5788721	01_AD_03_NL_02
GSM5788722	01_AD_05_NL_02
GSM5788723	01_AD_06_LS_01
GSM5788724	01_AD_06_NL_01
